
2024/05/07 (11:15:56) | ===> btop++ v.1.3.2
2024/05/07 (11:25:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:25:30) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:25:31) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:25:32) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:25:33) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:25:34) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:25:35) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:25:36) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:25:37) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:25:38) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:25:39) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:25:40) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:25:41) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:25:42) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:25:43) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:25:44) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:25:45) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:25:46) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:25:47) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:25:48) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:25:49) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:25:50) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:25:51) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:25:52) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:25:53) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:25:54) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:25:55) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:25:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:25:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:25:58) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:00) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:01) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:02) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:03) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:04) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:06) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:07) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:08) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:09) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:10) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:11) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:12) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:13) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:14) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:15) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:16) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:17) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:19) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:20) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:21) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:22) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:23) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:24) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:25) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:26) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:27) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:28) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:30) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:31) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:32) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:33) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:34) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:35) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:36) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:37) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:38) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:39) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:40) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:41) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:42) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:43) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:44) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:45) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:46) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:47) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:48) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:49) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:50) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:51) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:52) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:53) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:54) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:55) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:58) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:26:59) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:00) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:01) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:02) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:03) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:04) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:06) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:07) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:08) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:09) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:10) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:11) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:12) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:13) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:14) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:15) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:16) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:17) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:19) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:20) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:21) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:22) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:23) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:24) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:25) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:26) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:27) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:28) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:30) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:31) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:32) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:33) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:34) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:35) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:36) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:37) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:38) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:39) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:40) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:41) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:42) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:43) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:44) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:45) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:46) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:47) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:48) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:49) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:50) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:51) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:52) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:53) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:54) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:55) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:58) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:27:59) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:00) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:01) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:02) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:03) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:04) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:06) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:07) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:08) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:09) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:10) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:11) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:12) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:13) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:14) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:15) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:16) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:17) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:19) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:20) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:21) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:22) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:23) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:24) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:25) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:26) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:27) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:28) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:30) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:31) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:32) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:33) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:34) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:35) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:36) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:37) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:38) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:39) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:40) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:41) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:42) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:43) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:44) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:45) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:46) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:47) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:48) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:49) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:50) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:51) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:52) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:53) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:54) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:55) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:58) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:28:59) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:00) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:01) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:02) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:03) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:04) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:06) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:07) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:08) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:09) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:10) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:11) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:12) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:13) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:14) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:15) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:16) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:17) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:19) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:20) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:21) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:22) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:23) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:24) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:25) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:26) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:27) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:28) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:30) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:31) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:32) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:33) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:34) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:35) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:36) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:37) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:38) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:39) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:40) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:41) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:42) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:43) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:44) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:45) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:46) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:47) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:48) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:49) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:50) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:51) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:52) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:53) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:54) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:55) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:56) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:57) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:58) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:29:59) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:30:00) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:30:01) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:30:02) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:30:03) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:30:04) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:30:05) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:30:06) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:30:07) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:30:08) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:30:09) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:30:10) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:30:11) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:30:12) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:30:13) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:30:14) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:30:15) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:30:16) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:30:17) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:30:18) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:30:19) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:30:20) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:30:21) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:30:22) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:30:23) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:30:24) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:30:25) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:30:26) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:30:27) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:30:28) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:30:29) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:30:30) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:30:31) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/05/07 (11:30:32) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
